,name,pokedex_number,type1,type2,abilities,hp,atk,def,sp_atk,sp_def,speed,height(in),height(m),weight(lbs),weight(kg)
20,Arbok,24,Poison,Unknown,"['Intimidate', 'Shed Skin', 'Unnerve']",60,85,69,65,79,80,"11'06""
","3.5 m
","143.3 lbs.
","65.0 kg
"
21,Arcanine,59,Fire,Unknown,"['Intimidate', 'Flash Fire', 'Justified']",90,110,80,100,80,95,"6'03""
","1.9 m
","341.7 lbs.
","155.0 kg
"
22,Arceus,493,Normal,Unknown,['Multitype'],120,120,120,120,120,120,"10'06""
","3.2 m
","705.5 lbs.
","320.0 kg
"
23,Archen,566,Rock,Flying,['Defeatist'],55,112,45,74,45,70,"1'08""
","0.5 m
","20.9 lbs.
","9.5 kg
"
24,Archeops,567,Rock,Flying,['Defeatist'],75,140,65,112,65,110,"4'07""
","1.4 m
","70.5 lbs.
","32.0 kg
"
25,Arctovish,883,Water,Ice,"['Water Absorb', 'Ice Body', 'Slush Rush']",90,90,100,80,90,55,"6'07""
","2.0 m
","385.8 lbs.
","175.0 kg
"
26,Arctozolt,881,Electric,Ice,"['Volt Absorb', 'Static', 'Slush Rush']",90,100,90,90,80,55,"7'07""
","2.3 m
","330.7 lbs.
","150.0 kg
"
27,Ariados,168,Bug,Poison,"['Swarm', 'Insomnia', 'Sniper']",70,90,70,60,60,40,3'07??,"1.1 m
","73.9 lbs.
","33.5 kg
"
28,Armaldo,348,Rock,Bug,"['Battle Armor', 'Swift Swim']",75,125,100,70,80,45,"4'11""
","1.5 m
","150.4 lbs.
","68.2 kg
"
29,Aromatisse,683,Fairy,Unknown,"['Healer', 'Aroma Veil']",101,72,72,99,89,29,"2'07""
","0.8 m
","34.2 lbs.
","15.5 kg
"
30,Aron,304,Steel,Rock,"['Sturdy', 'Rock Head', 'Heavy Metal']",50,70,100,40,40,30,"1'04""
","0.4 m
","132.3 lbs.
","60.0 kg
"
31,Arrokuda,846,Water,Unknown,"['Swift Swim', 'Propeller Tail']",41,63,40,40,30,66,"1'08""
","0.5 m
","2.2 lbs.
","1.0 kg
"
32,Articuno,144,Ice,Flying,"['Pressure', 'Competitive', 'Snow Cloak']",90,85,100,95,125,85,"5'07""
","1.7 m
","122.1 lbs.
","55.4 kg
"
33,Audino,531,Normal,Unknown,"['Healer', 'Regenerator', 'Klutz', 'Healer']",103,60,86,60,86,50,"3'07""
","1.1 m
","68.3 lbs.
","31.0 kg
"
34,Aurorus,699,Rock,Ice,"['Refrigerate', 'Snow Warning']",123,77,72,99,92,58,"8'10""
","2.7 m
","496.0 lbs.
","225.0 kg
"
35,Avalugg,713,Ice,Unknown,"['Own Tempo', 'Ice Body', 'Strong Jaw', 'Ice Body', 'Sturdy']",95,117,184,44,46,28,"6'07""
","2.0 m
","1113.3 lbs.
","505.0 kg
"
36,Axew,610,Dragon,Unknown,"['Rivalry', 'Mold Breaker', 'Unnerve']",46,87,60,30,40,57,"2'00""
","0.6 m
","39.7 lbs.
","18.0 kg
"
37,Azelf,482,Psychic,Unknown,['Levitate'],75,125,70,125,70,115,"1'00""
","0.3 m
","0.7 lbs.
","0.3 kg
"
38,Azumarill,184,Water,Fairy,"['Thick Fat', 'Huge Power', 'Sap Sipper']",100,50,80,50,80,50,"2'07""
","0.8 m
","62.8 lbs.
","28.5 kg
"
39,Azurill,298,Normal,Fairy,"['Thick Fat', 'Huge Power', 'Sap Sipper']",50,20,40,20,40,20,"0'08""
","0.2 m
","4.4 lbs.
","2.0 kg
"
40,Bagon,371,Dragon,Unknown,"['Rock Head', 'Sheer Force']",45,75,60,40,30,50,"2'00""
","0.6 m
","92.8 lbs.
","42.1 kg
"
41,Baltoy,343,Ground,Psychic,['Levitate'],40,40,55,40,70,55,"1'08""
","0.5 m
","47.4 lbs.
","21.5 kg
"
42,Banette,354,Ghost,Unknown,"['Insomnia', 'Frisk', 'Gen IV+', 'Cursed Body', 'Prankster']",64,115,65,83,63,65,"3'07""
","1.1 m
","27.6 lbs.
","12.5 kg
"
43,Barbaracle,689,Rock,Water,"['Tough Claws', 'Sniper', 'Pickpocket']",72,105,115,54,86,68,"4'03""
","1.3 m
","211.6 lbs.
","96.0 kg
"
44,Barboach,339,Water,Ground,"['Oblivious', 'Anticipation', 'Hydration']",50,48,43,46,41,60,"1'04""
","0.4 m
","4.2 lbs.
","1.9 kg
"
45,Barraskewda,847,Water,Unknown,"['Swift Swim', 'Propeller Tail']",61,123,60,60,50,136,"4'03""
","1.3 m
","66.1 lbs.
","30.0 kg
"
46,Basculegion,902,Water,Ghost,"['Rattled', 'Adaptability', 'Mold Breaker']",120,112,65,80,75,78,"9'10""
","3.0 m
","242.5 lbs.
","110.0 kg
"
47,Basculin,550,Water,Unknown,"['Reckless', 'Adaptability', 'Rock Head', 'Adaptability', 'Rattled', 'Adaptability', 'Mold Breaker']",70,92,65,80,55,98,"3'03""
","1.0 m
","39.7 lbs.
","18.0 kg
"
48,Bastiodon,411,Rock,Steel,"['Sturdy', 'Soundproof']",60,52,168,47,138,30,"4'03""
","1.3 m
","329.6 lbs.
","149.5 kg
"
49,Bayleef,153,Grass,Unknown,"['Overgrow', 'Leaf Guard']",60,62,80,63,80,60,"3'11""
","1.2 m
","34.8 lbs.
","15.8 kg
"
50,Beartic,614,Ice,Unknown,"['Snow Cloak', 'Slush Rush', 'Swift Swim']",95,110,80,70,80,50,"8'06""
","2.6 m
","573.2 lbs.
","260.0 kg
"
51,Beautifly,267,Bug,Flying,"['Swarm', 'Rivalry']",60,70,50,90,50,65,"3'03""
","1.0 m
","62.6 lbs.
","28.4 kg
"
52,Beedrill,15,Bug,Poison,"['Swarm', 'Sniper', 'Adaptability']",65,80,40,45,80,75,"3'03""
","1.0 m
","65.0 lbs.
","29.5 kg
"
53,Beheeyem,606,Psychic,Unknown,"['Telepathy', 'Synchronize', 'Analytic']",75,75,75,125,95,40,"3'03""
","1.0 m
","76.1 lbs.
","34.5 kg
"
54,Beldum,374,Steel,Psychic,"['Clear Body', 'Light Metal']",40,55,80,35,60,30,"2'00""
","0.6 m
","209.9 lbs.
","95.2 kg
"
55,Bellossom,182,Grass,Unknown,"['Chlorophyll', 'Healer']",75,80,85,90,100,50,"1'04""
","0.4 m
","12.8 lbs.
","5.8 kg
"
56,Bellsprout,69,Grass,Poison,"['Chlorophyll', 'Gluttony']",50,75,35,70,30,40,"2'04""
","0.7 m
","8.8 lbs.
","4.0 kg
"
57,Bergmite,712,Ice,Unknown,"['Own Tempo', 'Ice Body', 'Sturdy']",55,69,85,32,35,28,"3'03""
","1.0 m
","219.4 lbs.
","99.5 kg
"
58,Bewear,760,Normal,Fighting,"['Fluffy', 'Klutz', 'Unnerve']",120,125,80,55,60,60,"6'11""
","2.1 m
","297.6 lbs.
","135.0 kg
"
59,Bibarel,400,Normal,Water,"['Simple', 'Unaware', 'Moody']",79,85,60,55,60,71,"3'03""
","1.0 m
","69.4 lbs.
","31.5 kg
"
60,Bidoof,399,Normal,Unknown,"['Simple', 'Unaware', 'Moody']",59,45,40,35,40,31,"1'08""
","0.5 m
","44.1 lbs.
","20.0 kg
"
61,Binacle,688,Rock,Water,"['Tough Claws', 'Sniper', 'Pickpocket']",42,52,67,39,56,50,"1'08""
","0.5 m
","68.3 lbs.
","31.0 kg
"
62,Bisharp,625,Dark,Steel,"['Defiant', 'Inner Focus', 'Pressure']",65,125,100,60,70,70,"5'03""
","1.6 m
","154.3 lbs.
","70.0 kg
"
63,Blacephalon,806,Fire,Ghost,['Beast Boost'],53,127,53,151,79,107,"5'11""
","1.8 m
","28.7 lbs.
","13.0 kg
"
64,Blastoise,9,Water,Unknown,"['Torrent', 'Rain Dish', 'Mega Launcher']",79,83,100,85,105,78,"5'03""
","1.6 m
","188.5 lbs.
","85.5 kg
"
65,Blaziken,257,Fire,Fighting,"['Blaze', 'Speed Boost', 'Speed Boost']",80,120,70,110,70,80,"6'03""
","1.9 m
","114.6 lbs.
","52.0 kg
"
66,Blipbug,824,Bug,Unknown,"['Swarm', 'Compound Eyes', 'Telepathy']",25,20,20,25,45,45,"1'04""
","0.4 m
","17.6 lbs.
","8.0 kg
"
67,Blissey,242,Normal,Unknown,"['Natural Cure', 'Serene Grace', 'Healer']",255,10,10,75,135,55,"4'11""
","1.5 m
","103.2 lbs.
","46.8 kg
"
68,Blitzle,522,Electric,Unknown,"['Lightning Rod', 'Motor Drive', 'Sap Sipper']",45,60,32,50,32,76,"2'07""
","0.8 m
","65.7 lbs.
","29.8 kg
"
69,Boldore,525,Rock,Unknown,"['Sturdy', 'Weak Armor', 'Gen VII+', 'Sand Force']",70,105,105,50,40,20,"2'11""
","0.9 m
","224.9 lbs.
","102.0 kg
"
70,Boltund,836,Electric,Unknown,"['Strong Jaw', 'Competitive']",69,90,60,90,60,121,"3'03""
","1.0 m
","75.0 lbs.
","34.0 kg
"
71,Bonsly,438,Rock,Unknown,"['Sturdy', 'Rock Head', 'Rattled']",50,80,95,10,45,10,"1'08""
","0.5 m
","33.1 lbs.
","15.0 kg
"
72,Bouffalant,626,Normal,Unknown,"['Reckless', 'Sap Sipper', 'Soundproof']",95,110,95,40,95,55,"5'03""
","1.6 m
","208.6 lbs.
","94.6 kg
"
73,Bounsweet,761,Grass,Unknown,"['Leaf Guard', 'Oblivious', 'Sweet Veil']",42,30,38,30,38,32,"1'00""
","0.3 m
","7.1 lbs.
","3.2 kg
"
74,Braixen,654,Fire,Unknown,"['Blaze', 'Magician']",59,59,58,90,70,73,"3'03""
","1.0 m
","32.0 lbs.
","14.5 kg
"
75,Braviary,628,Normal,Flying,"['Keen Eye', 'Sheer Force', 'Defiant']",100,123,75,57,75,80,"4'11""
","1.5 m
","90.4 lbs.
","41.0 kg
"
76,Breloom,286,Grass,Fighting,"['Effect Spore', 'Poison Heal', 'Technician']",60,130,80,60,60,70,"3'11""
","1.2 m
","86.4 lbs.
","39.2 kg
"
77,Brionne,729,Water,Unknown,"['Torrent', 'Liquid Voice']",60,69,69,91,81,50,"2'00""
","0.6 m
","38.6 lbs.
","17.5 kg
"
78,Bronzong,437,Steel,Psychic,"['Levitate', 'Heatproof', 'Heavy Metal']",67,89,116,79,116,33,"4'03""
","1.3 m
","412.3 lbs.
","187.0 kg
"
79,Bronzor,436,Steel,Psychic,"['Levitate', 'Heatproof', 'Heavy Metal']",57,24,86,24,86,23,"1'08""
","0.5 m
","133.4 lbs.
","60.5 kg
"
80,Bruxish,779,Water,Psychic,"['Dazzling', 'Strong Jaw', 'Wonder Skin']",68,105,70,70,70,92,"2'11""
","0.9 m
","41.9 lbs.
","19.0 kg
"
81,Budew,406,Grass,Poison,"['Natural Cure', 'Poison Point', 'Leaf Guard']",40,30,35,50,70,55,"0'08""
","0.2 m
","2.6 lbs.
","1.2 kg
"
82,Buizel,418,Water,Unknown,"['Swift Swim', 'Water Veil']",55,65,35,60,30,85,"2'04""
","0.7 m
","65.0 lbs.
","29.5 kg
"
83,Bulbasaur,1,Grass,Poison,"['Overgrow', 'Chlorophyll']",45,49,49,65,65,45,"2'04""
","0.7 m
","15.2 lbs.
","6.9 kg
"
84,Buneary,427,Normal,Unknown,"['Run Away', 'Klutz', 'Limber']",55,66,44,44,56,85,"1'04""
","0.4 m
","12.1 lbs.
","5.5 kg
"
85,Bunnelby,659,Normal,Unknown,"['Pickup', 'Cheek Pouch', 'Huge Power']",38,36,38,32,36,57,"1'04""
","0.4 m
","11.0 lbs.
","5.0 kg
"
86,Burmy,412,Bug,Unknown,"['Shed Skin', 'Overcoat']",40,29,45,29,45,36,"0'08""
","0.2 m
","7.5 lbs.
","3.4 kg
"
87,Butterfree,12,Bug,Flying,"['Compound Eyes', 'Tinted Lens']",60,45,50,80,80,70,"3'07""
","1.1 m
","70.5 lbs.
","32.0 kg
"
88,Buzzwole,794,Bug,Fighting,['Beast Boost'],107,139,139,53,53,79,"7'10""
","2.4 m
","735.5 lbs.
","333.6 kg
"
89,Cacnea,331,Grass,Unknown,"['Sand Veil', 'Water Absorb']",50,85,40,85,40,35,"1'04""
","0.4 m
","113.1 lbs.
","51.3 kg
"
90,Cacturne,332,Grass,Dark,"['Sand Veil', 'Water Absorb']",70,115,60,115,60,55,"4'03""
","1.3 m
","170.6 lbs.
","77.4 kg
"
91,Calyrex,898,Psychic,Grass,['Unnerve'],100,80,80,80,80,80,"3'07""
","1.1 m
","17.0 lbs.
","7.7 kg
"
92,Camerupt,323,Fire,Ground,"['Magma Armor', 'Solid Rock', 'Anger Point', 'Sheer Force']",70,100,70,105,75,40,"6'03""
","1.9 m
","485.0 lbs.
","220.0 kg
"
93,Carbink,703,Rock,Fairy,"['Clear Body', 'Sturdy']",50,50,150,50,150,50,"1'00""
","0.3 m
","12.6 lbs.
","5.7 kg
"
94,Carkol,838,Rock,Fire,"['Steam Engine', 'Flame Body', 'Flash Fire']",80,60,90,60,70,50,"3'07""
","1.1 m
","172.0 lbs.
","78.0 kg
"
95,Carnivine,455,Grass,Unknown,['Levitate'],74,100,72,90,72,46,"4'07""
","1.4 m
","59.5 lbs.
","27.0 kg
"
96,Carracosta,565,Water,Rock,"['Solid Rock', 'Sturdy', 'Swift Swim']",74,108,133,83,65,32,"3'11""
","1.2 m
","178.6 lbs.
","81.0 kg
"
97,Carvanha,318,Water,Dark,"['Rough Skin', 'Speed Boost']",45,90,20,65,20,65,"2'07""
","0.8 m
","45.9 lbs.
","20.8 kg
"
98,Cascoon,268,Bug,Unknown,['Shed Skin'],50,35,55,25,25,15,"2'04""
","0.7 m
","25.4 lbs.
","11.5 kg
"
99,Castform,351,Normal,Unknown,['Forecast'],70,70,70,70,70,70,"1'00""
","0.3 m
","1.8 lbs.
","0.8 kg
"
100,Caterpie,10,Bug,Unknown,"['Shield Dust', 'Run Away']",45,30,35,20,20,45,"1'00""
","0.3 m
","6.4 lbs.
","2.9 kg
"
101,Celebi,251,Psychic,Grass,['Natural Cure'],100,100,100,100,100,100,"2'00""
","0.6 m
","11.0 lbs.
","5.0 kg
"
102,Celesteela,797,Steel,Flying,['Beast Boost'],97,101,103,107,101,61,"30'02""
","9.2 m
","2204.4 lbs.
","999.9 kg
"
103,Centiskorch,851,Fire,Bug,"['Flash Fire', 'White Smoke', 'Flame Body']",100,115,65,90,90,65,"9'10""
","3.0 m
","264.6 lbs.
","120.0 kg
"
104,Chandelure,609,Ghost,Fire,"['Flash Fire', 'Flame Body', 'Infiltrator']",60,55,90,145,90,80,"3'03""
","1.0 m
","75.6 lbs.
","34.3 kg
"
105,Chansey,113,Normal,Unknown,"['Natural Cure', 'Serene Grace', 'Healer']",250,5,5,35,105,50,"3'07""
","1.1 m
","76.3 lbs.
","34.6 kg
"
106,Charizard,6,Fire,Flying,"['Blaze', 'Solar Power', 'Tough Claws', 'Drought']",78,84,78,109,85,100,"5'07""
","1.7 m
","199.5 lbs.
","90.5 kg
"
107,Charjabug,737,Bug,Electric,['Battery'],57,82,95,55,75,36,"1'08""
","0.5 m
","23.1 lbs.
","10.5 kg
"
108,Charmander,4,Fire,Unknown,"['Blaze', 'Solar Power']",39,52,43,60,50,65,"2'00""
","0.6 m
","18.7 lbs.
","8.5 kg
"
109,Charmeleon,5,Fire,Unknown,"['Blaze', 'Solar Power']",58,64,58,80,65,80,"3'07""
","1.1 m
","41.9 lbs.
","19.0 kg
"
110,Chatot,441,Normal,Flying,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",76,65,45,92,42,91,"1'08""
","0.5 m
","4.2 lbs.
","1.9 kg
"
111,Cherrim,421,Grass,Unknown,['Flower Gift'],70,60,70,87,78,85,"1'08""
","0.5 m
","20.5 lbs.
","9.3 kg
"
112,Cherubi,420,Grass,Unknown,['Chlorophyll'],45,35,45,62,53,35,"1'04""
","0.4 m
","7.3 lbs.
","3.3 kg
"
113,Chesnaught,652,Grass,Fighting,"['Overgrow', 'Bulletproof']",88,107,122,74,75,64,"5'03""
","1.6 m
","198.4 lbs.
","90.0 kg
"
114,Chespin,650,Grass,Unknown,"['Overgrow', 'Bulletproof']",56,61,65,48,45,38,"1'04""
","0.4 m
","19.8 lbs.
","9.0 kg
"
115,Chewtle,833,Water,Unknown,"['Strong Jaw', 'Shell Armor', 'Swift Swim']",50,64,50,38,38,44,"1'00""
","0.3 m
","18.7 lbs.
","8.5 kg
"
116,Chikorita,152,Grass,Unknown,"['Overgrow', 'Leaf Guard']",45,49,65,49,65,45,"2'11""
","0.9 m
","14.1 lbs.
","6.4 kg
"
117,Chimchar,390,Fire,Unknown,"['Blaze', 'Iron Fist']",44,58,44,58,44,61,"1??8""
","0.5 m
","13.7 lbs.
","6.2 kg
"
118,Chimecho,358,Psychic,Unknown,['Levitate'],65,50,70,95,80,65,"2'00""
","0.6 m
","2.2 lbs.
","1.0 kg
"
119,Chinchou,170,Water,Electric,"['Volt Absorb', 'Illuminate', 'Water Absorb']",75,38,38,56,56,67,"1'08""
","0.5 m
","26.5 lbs.
","12.0 kg
"
120,Chingling,433,Psychic,Unknown,['Levitate'],45,30,50,65,50,45,"0'08""
","0.2 m
","1.3 lbs.
","0.6 kg
"
121,Cinccino,573,Normal,Unknown,"['Cute Charm', 'Technician', 'Skill Link']",75,95,60,65,60,115,"1'08""
","0.5 m
","16.5 lbs.
","7.5 kg
"
122,Cinderace,815,Fire,Unknown,"['Blaze', 'Libero']",80,116,75,65,75,119,"4'07""
","1.4 m
","72.8 lbs.
","33.0 kg
"
123,Clamperl,366,Water,Unknown,"['Shell Armor', 'Rattled']",35,64,85,74,55,32,"1'04""
","0.4 m
","115.7 lbs.
","52.5 kg
"
124,Clauncher,692,Water,Unknown,['Mega Launcher'],50,53,62,58,63,44,"1'08""
","0.5 m
","18.3 lbs.
","8.3 kg
"
125,Clawitzer,693,Water,Unknown,['Mega Launcher'],71,73,88,120,89,59,"4'03""
","1.3 m
","77.8 lbs.
","35.3 kg
"
126,Claydol,344,Ground,Psychic,['Levitate'],60,70,105,70,120,75,"4'11""
","1.5 m
","238.0 lbs.
","108.0 kg
"
127,Clefable,36,Fairy,Unknown,"['Cute Charm', 'Magic Guard', 'Unaware']",95,70,73,85,90,60,"4'03""
","1.3 m
","88.2 lbs.
","40.0 kg
"
128,Clefairy,35,Fairy,Unknown,"['Cute Charm', 'Magic Guard', 'Friend Guard']",70,45,48,60,65,35,"2'00""
","0.6 m
","16.5 lbs.
","7.5 kg
"
129,Cleffa,173,Fairy,Unknown,"['Cute Charm', 'Magic Guard', 'Friend Guard']",50,25,28,45,55,15,"1'00""
","0.3 m
","6.6 lbs.
","3.0 kg
"
130,Clobbopus,852,Fighting,Unknown,"['Limber', 'Technician']",50,68,60,50,50,32,"2'00""
","0.6 m
","8.8 lbs.
","4.0 kg
"
131,Cloyster,91,Water,Ice,"['Shell Armor', 'Skill Link', 'Overcoat']",50,95,180,85,45,70,"4'11""
","1.5 m
","292.1 lbs.
","132.5 kg
"
132,Coalossal,839,Rock,Fire,"['Steam Engine', 'Flame Body', 'Flash Fire']",110,80,120,80,90,30,"9'02""
","2.8 m
","684.5 lbs.
","310.5 kg
"
133,Cobalion,638,Steel,Fighting,['Justified'],91,90,129,90,72,108,"6'11""
","2.1 m
","551.2 lbs.
","250.0 kg
"
134,Cofagrigus,563,Ghost,Unknown,['Mummy'],58,50,145,95,105,30,"5'07""
","1.7 m
","168.7 lbs.
","76.5 kg
"
135,Combee,415,Bug,Flying,"['Honey Gather', 'Hustle']",30,30,42,30,42,70,"1'00""
","0.3 m
","12.1 lbs.
","5.5 kg
"
136,Combusken,256,Fire,Fighting,"['Blaze', 'Speed Boost']",60,85,60,85,60,55,"2'11""
","0.9 m
","43.0 lbs.
","19.5 kg
"
137,Comfey,764,Fairy,Unknown,"['Flower Veil', 'Triage', 'Natural Cure']",51,52,90,82,110,100,"0'04""
","0.1 m
","0.7 lbs.
","0.3 kg
"
138,Conkeldurr,534,Fighting,Unknown,"['Guts', 'Sheer Force', 'Iron Fist']",105,140,95,55,65,45,"4'07""
","1.4 m
","191.8 lbs.
","87.0 kg
"
139,Copperajah,879,Steel,Unknown,"['Sheer Force', 'Heavy Metal']",122,130,69,80,69,30,"9'10""
","3.0 m
","1433.0 lbs.
","650.0 kg
"
140,Corphish,341,Water,Unknown,"['Hyper Cutter', 'Shell Armor', 'Adaptability']",43,80,65,50,35,35,"2'00""
","0.6 m
","25.4 lbs.
","11.5 kg
"
141,Corsola,222,Water,Rock,"['Hustle', 'Natural Cure', 'Weak Armor', 'Regenerator', 'Cursed Body']",55,55,85,65,85,35,2'00??,"0.6 m
","11.0 lbs.
","5.0 kg
"
142,Corviknight,823,Flying,Steel,"['Pressure', 'Unnerve', 'Mirror Armor']",98,87,105,53,85,67,"7'03""
","2.2 m
","165.3 lbs.
","75.0 kg
"
143,Corvisquire,822,Flying,Unknown,"['Keen Eye', 'Unnerve', 'Big Pecks']",68,67,55,43,55,77,"2'07""
","0.8 m
","35.3 lbs.
","16.0 kg
"
144,Cosmoem,790,Psychic,Unknown,['Sturdy'],43,29,131,29,131,37,"0'04""
","0.1 m
","2204.4 lbs.
","999.9 kg
"
145,Cosmog,789,Psychic,Unknown,['Unaware'],43,29,31,29,31,37,"0'08""
","0.2 m
","0.2 lbs.
","0.1 kg
"
146,Cottonee,546,Grass,Fairy,"['Prankster', 'Infiltrator', 'Chlorophyll']",40,27,60,37,50,66,"1'00""
","0.3 m
","1.3 lbs.
","0.6 kg
"
147,Crabominable,740,Fighting,Ice,"['Hyper Cutter', 'Iron Fist', 'Anger Point']",97,132,77,62,67,43,"5'07""
","1.7 m
","396.8 lbs.
","180.0 kg
"
148,Crabrawler,739,Fighting,Unknown,"['Hyper Cutter', 'Iron Fist', 'Anger Point']",47,82,57,42,47,63,"2'00""
","0.6 m
","15.4 lbs.
","7.0 kg
"
149,Cradily,346,Rock,Grass,"['Suction Cups', 'Storm Drain']",86,81,97,81,107,43,"4'11""
","1.5 m
","133.2 lbs.
","60.4 kg
"
150,Cramorant,845,Flying,Water,['Gulp Missile'],70,85,55,85,95,85,"2'07""
","0.8 m
","39.7 lbs.
","18.0 kg
"
151,Cranidos,408,Rock,Unknown,"['Mold Breaker', 'Sheer Force']",67,125,40,30,30,58,"2'11""
","0.9 m
","69.4 lbs.
","31.5 kg
"
152,Crawdaunt,342,Water,Dark,"['Hyper Cutter', 'Shell Armor', 'Adaptability']",63,120,85,90,55,55,"3'07""
","1.1 m
","72.3 lbs.
","32.8 kg
"
153,Cresselia,488,Psychic,Unknown,['Levitate'],120,70,120,75,130,85,"4'11""
","1.5 m
","188.7 lbs.
","85.6 kg
"
154,Croagunk,453,Poison,Fighting,"['Anticipation', 'Dry Skin', 'Poison Touch']",48,61,40,61,40,50,"2'04""
","0.7 m
","50.7 lbs.
","23.0 kg
"
155,Crobat,169,Poison,Flying,"['Inner Focus', 'Infiltrator']",85,90,80,70,80,130,5'11??,"1.8 m
","165.3 lbs.
","75.0 kg
"
156,Croconaw,159,Water,Unknown,"['Torrent', 'Sheer Force']",65,80,80,59,63,58,"3'07""
","1.1 m
","55.1 lbs.
","25.0 kg
"
157,Crustle,558,Bug,Rock,"['Sturdy', 'Shell Armor', 'Weak Armor']",70,95,125,65,75,45,"4'07""
","1.4 m
","440.9 lbs.
","200.0 kg
"
158,Cryogonal,615,Ice,Unknown,['Levitate'],70,50,30,95,135,105,"3'07""
","1.1 m
","326.3 lbs.
","148.0 kg
"
159,Cubchoo,613,Ice,Unknown,"['Snow Cloak', 'Slush Rush', 'Rattled']",55,70,40,60,40,40,"1'08""
","0.5 m
","18.7 lbs.
","8.5 kg
"
160,Cubone,104,Ground,Unknown,"['Rock Head', 'Lightning Rod', 'Battle Armor']",50,50,95,40,50,35,"1'04""
","0.4 m
","14.3 lbs.
","6.5 kg
"
161,Cufant,878,Steel,Unknown,"['Sheer Force', 'Heavy Metal']",72,80,49,40,49,40,"3'11""
","1.2 m
","220.5 lbs.
","100.0 kg
"
162,Cursola,864,Ghost,Unknown,"['Weak Armor', 'Perish Body']",60,95,50,145,130,30,"3'03""
","1.0 m
","0.9 lbs.
","0.4 kg
"
